"years","values","pop_size","num_clutches"
"340",2051,"high values",153,20
"341",2052,"high values",142,20
"342",2022,"high values",114,25
"343",2023,"high values",119,25
"344",2024,"high values",139,25
"345",2025,"high values",148,25
"346",2026,"high values",149,25
"347",2027,"high values",138,25
"348",2028,"high values",131,25
"349",2029,"high values",150,25
"350",2030,"high values",161,25
"351",2031,"high values",143,25
"352",2032,"high values",164,25
"353",2033,"high values",160,25
"354",2034,"high values",151,25
"355",2035,"high values",150,25
"356",2036,"high values",143,25
"357",2037,"high values",137,25
"358",2038,"high values",138,25
"359",2039,"high values",147,25
"360",2040,"high values",143,25
"361",2041,"high values",147,25
"362",2042,"high values",143,25
"363",2043,"high values",149,25
"364",2044,"high values",151,25
"365",2045,"high values",140,25
"366",2046,"high values",150,25
"367",2047,"high values",163,25
"368",2048,"high values",171,25
"369",2049,"high values",153,25
"370",2050,"high values",182,25
"371",2051,"high values",201,25
"372",2052,"high values",205,25
