"years","num_clutches","pop_size"
2050,"30",57.1666666666667
2051,"30",58.1666666666667
2052,"30",61.3333333333333
2053,"30",58.3333333333333
2023,"35",37
2024,"35",37.3333333333333
2025,"35",39
2026,"35",39
2027,"35",43.6666666666667
2028,"35",47.6666666666667
2029,"35",45.1666666666667
2030,"35",51.8333333333333
2031,"35",54.5
2032,"35",62.8333333333333
2033,"35",62.6666666666667
2034,"35",63
2035,"35",58.8333333333333
2036,"35",63.6666666666667
2037,"35",64.5
2038,"35",66.5
2039,"35",65.6666666666667
2040,"35",61.5
2041,"35",59.6666666666667
2042,"35",60.1666666666667
2043,"35",59.8333333333333
2044,"35",62.5
2045,"35",66.5
2046,"35",68.8333333333333
2047,"35",67.1666666666667
2048,"35",71
2049,"35",69.5
2050,"35",68.1666666666667
2051,"35",72.3333333333333
2052,"35",73.8333333333333
2053,"35",66.3333333333333
