years,scenario,pop_size,lcl,ucl,,,lcl_1,lcl,ucl,ucl_1,,,,,
2031,A4,121.6666667,119.6267222,133.3142222,,,0.016766667,0.103666667,0.116333333,0.095733333,,,,119.6267222,133.3142222
2032,A4,114.1666667,113.12775,120.9481667,,,0.0091,0.096,0.08,0.0594,,,,113.12775,120.9481667
2033,A4,117.3333333,125.1829333,118.2016,,,-0.0669,0.02,0.028,0.0074,,,,125.1829333,118.2016
2034,A4,123.8333333,130.3841167,124.9973667,,,-0.0529,0.034,0.03,0.0094,,,,130.3841167,124.9973667
2035,A4,124.8333333,129.3980722,127.4631556,,,-0.036566667,0.050333333,0.041666667,0.021066667,,,,129.3980722,127.4631556
2036,A4,118.1666667,120.5181833,122.4679333,,,-0.0199,0.067,0.057,0.0364,,,,120.5181833,122.4679333
2037,A4,115.5,113.44795,125.0557,,,0.017766667,0.104666667,0.103333333,0.082733333,,,,113.44795,125.0557
2038,A4,112.8333333,114.0256056,120.4006889,,,-0.010566667,0.076333333,0.087666667,0.067066667,,,,114.0256056,120.4006889
2039,A4,114.8333333,106.4772944,132.2573778,,,0.072766667,0.159666667,0.172333333,0.151733333,,,,106.4772944,132.2573778
2040,A4,114.3333333,105.1752333,135.4164,,,0.0801,0.167,0.205,0.1844,,,,105.1752333,135.4164
2041,A4,116,104.0790667,143.1130667,,,0.102766667,0.189666667,0.254333333,0.233733333,,,,104.0790667,143.1130667
2042,A4,115,99.73183333,146.7093333,,,0.132766667,0.219666667,0.296333333,0.275733333,,,,99.73183333,146.7093333
2043,A4,117.6666667,94.16078889,159.6422889,,,0.199766667,0.286666667,0.377333333,0.356733333,,,,94.16078889,159.6422889
2044,A4,106.8333333,82.21537222,151.0694556,,,0.230433333,0.317333333,0.434666667,0.414066667,,,,82.21537222,151.0694556
2045,A4,112.3333333,93.97432222,138.9638222,,,0.163433333,0.250333333,0.257666667,0.237066667,,,,93.97432222,138.9638222
2046,A4,114.6666667,96.99653333,141.0858667,,,0.1541,0.241,0.251,0.2304,,,,96.99653333,141.0858667
2047,A4,112.5,86.98875,145.545,,,0.226766667,0.313666667,0.314333333,0.293733333,,,,86.98875,145.545
2048,A4,113.3333333,87.40644444,145.4897778,,,0.228766667,0.315666667,0.304333333,0.283733333,,,,87.40644444,145.4897778
2049,A4,112.8333333,74.87243889,157.5228556,,,0.336433333,0.423333333,0.416666667,0.396066667,,,,74.87243889,157.5228556
2050,A4,112.5,72.32625,160.1325,,,0.3571,0.444,0.444,0.4234,,,,72.32625,160.1325
2051,A4,106,58.36006667,159.3250667,,,0.449433333,0.536333333,0.523666667,0.503066667,,,,58.36006667,159.3250667
2052,A4,108.6666667,69.93424444,151.2712444,,,0.356433333,0.443333333,0.412666667,0.392066667,,,,69.93424444,151.2712444
2053,A4,108.1666667,67.48518333,155.8032667,,,0.3761,0.463,0.461,0.4404,,,,67.48518333,155.8032667
